부품명,부품사양,매각가능수량_정상,매각가능수량_불량
CPU,인텔 코어I5 소켓1155 3.1 GHz,1,0
CPU,인텔 코어I3 소켓1150 3.4 GHz,16,0
CPU,인텔 코어I3 소켓1150 3.4 GHz,1,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,2,0
CPU,인텔 코어I5 소켓1150 3.3 GHz,1,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 3.0 GHz,2,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,1,0
CPU,인텔 셀러론듀얼코어 소켓1150 2.8 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓 775 1.6 GHz,18,0
CPU,인텔 코어I5 소켓1155 3.1 GHz,3,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,1,0
CPU,인텔 펜티엄듀얼코어 소켓1155 2.9 GHz,3,0
CPU,인텔 펜티엄듀얼코어 소켓1155 2.6 GHz,79,0
CPU,인텔 셀러론듀얼코어 소켓1155 2.4 GHz,20,0
CPU,인텔 코어I5 소켓1150 3.5 GHz,4,0
CPU,인텔 코어I5 소켓1155 3.2 GHz,5,0
CPU,인텔 셀러론듀얼코어 소켓1150 2.8 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.4 GHz,4,0
CPU,인텔 코어I3 소켓1156 2.93 GHz,1,0
CPU,인텔 코어2듀오 소켓 775 2.8 GHz,11,0
CPU,인텔 셀러론듀얼코어 소켓1155 2.4 GHz,12,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,1,0
CPU,인텔 셀러론듀얼코어 소켓1150 2.8 GHz,6,0
CPU,인텔 펜티엄듀얼코어 소켓1155 2.7 GHz,2,0
CPU,인텔 코어I3 소켓1155 3.1 GHz,3,0
CPU,인텔 펜티엄듀얼코어 소켓1150 3.1 GHz,19,0
CPU,인텔 셀러론듀얼코어 소켓1150 2.8 GHz,40,0
CPU,인텔 펜티엄듀얼코어 소켓1155 2.6 GHz,3,0
CPU,인텔 펜티엄듀얼코어 소켓 775 1.6 GHz,61,0
CPU,인텔 셀러론 소켓1155 2.9 GHz,6,0
CPU,인텔 코어I3 소켓1155 3.3 GHz,16,0
CPU,인텔 펜티엄 소켓 775 2.93 GHz,29,0
